wk,home_score,away_score,home_expected_goals,away_expected_goals,away_id,away_shots,away_shots_on_target,away_touches,away_pass_pct,away_assists,home_id,home_shots,home_shots_on_target,home_touches,home_pass_pct,home_assists,home_team,away_team
23,0,2,0.3,1.0,add600ae,12,6,896,87.6,2,62add3bf,8,2,556,81.4,0,Werder Bremen,Dortmund
23,0,2,1.0,0.9,b1278397,9,4,492,69.7,2,a486e511,16,4,670,79.7,0,Freiburg,Düsseldorf
23,0,5,0.5,2.6,bc357bf7,17,11,521,74.1,4,2818f8bc,9,1,718,79.6,0,Hertha BSC,Köln
23,1,1,2.6,1.8,033ea6b8,21,5,660,85.8,1,32f3ee20,15,9,623,83.0,1,M'gladbach,Hoffenheim
23,0,5,0.2,2.4,acbb6a5b,23,8,584,78.1,5,c539e393,3,2,641,82.0,0,Schalke 04,RB Leipzig
23,2,0,0.9,0.6,0cdc4311,8,3,407,64.3,0,c7a9f859,9,4,1000,87.9,2,Leverkusen,Augsburg
23,4,0,2.7,1.1,a224b06a,16,3,560,71.6,0,4eaa11d7,16,6,694,80.3,2,Wolfsburg,Mainz 05
23,1,2,2.0,1.6,7a41008f,11,7,489,62.2,1,f0ac8ee6,20,4,712,75.3,0,Eint Frankfurt,Union Berlin
24,3,3,1.3,2.8,2818f8bc,14,6,608,78.8,1,b1278397,14,5,618,79.9,3,Düsseldorf,Hertha BSC
24,0,6,0.4,3.4,054efa67,23,11,857,86.4,3,033ea6b8,4,1,541,76.3,0,Hoffenheim,Bayern Munich
24,1,0,1.8,1.3,a486e511,13,3,560,81.8,0,add600ae,16,2,931,90.5,1,Dortmund,Freiburg
24,2,3,1.1,2.6,32f3ee20,15,7,679,87.5,3,0cdc4311,8,3,572,80.0,2,Augsburg,M'gladbach
24,2,0,0.9,0.6,d9f93f02,9,4,652,74.7,0,a224b06a,8,3,573,69.8,2,Mainz 05,Paderborn 07
24,3,0,0.9,0.8,c539e393,7,1,745,83.1,0,bc357bf7,12,6,510,73.9,2,Köln,Schalke 04
24,2,2,0.5,1.1,4eaa11d7,12,4,681,77.1,2,7a41008f,6,3,501,65.4,2,Union Berlin,Wolfsburg
24,1,1,0.6,1.4,c7a9f859,15,6,843,88.0,1,acbb6a5b,10,2,564,78.7,1,RB Leipzig,Leverkusen
25,1,2,0.7,2.4,bc357bf7,16,3,618,77.5,2,d9f93f02,16,2,579,76.4,1,Paderborn 07,Köln
25,2,2,1.0,1.0,62add3bf,7,3,645,70.4,2,2818f8bc,19,5,605,69.8,1,Hertha BSC,Werder Bremen
25,4,0,2.5,0.9,f0ac8ee6,9,3,554,73.8,0,c7a9f859,13,5,803,85.5,4,Leverkusen,Eint Frankfurt
25,3,1,0.8,0.7,7a41008f,15,4,525,77.3,1,a486e511,10,5,567,74.2,2,Freiburg,Union Berlin
25,0,0,0.8,1.2,acbb6a5b,14,4,789,82.9,0,4eaa11d7,16,4,563,72.5,0,Wolfsburg,RB Leipzig
25,1,1,0.8,0.7,033ea6b8,3,1,691,82.7,1,c539e393,14,4,569,78.9,1,Schalke 04,Hoffenheim
25,1,2,1.9,0.8,add600ae,10,4,771,84.7,2,32f3ee20,10,3,663,80.2,1,M'gladbach,Dortmund
25,2,0,2.8,0.8,0cdc4311,6,2,447,63.4,0,054efa67,18,6,964,85.4,2,Bayern Munich,Augsburg
25,1,1,0.8,2.0,b1278397,20,5,719,80.8,0,a224b06a,3,1,454,67.1,1,Mainz 05,Düsseldorf
